id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
32884,57,technician,married,high.school,no,no,yes,cellular,may,mon,371,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1
3169,55,unknown,married,unknown,unknown,yes,no,telephone,may,thu,285,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
32206,33,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,52,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1
9403,36,admin.,married,high.school,no,no,no,telephone,jun,fri,355,4,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
14020,27,housemaid,married,high.school,no,yes,no,cellular,jul,fri,189,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
17201,58,retired,married,professional.course,no,yes,yes,cellular,jul,fri,605,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
879,48,services,married,high.school,unknown,yes,no,telephone,may,wed,243,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191
23757,51,admin.,divorced,university.degree,unknown,yes,no,cellular,aug,thu,24,7,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
10821,24,entrepreneur,married,university.degree,no,yes,yes,telephone,jun,wed,126,4,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1
14355,36,technician,divorced,professional.course,no,yes,yes,cellular,jul,mon,43,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
32311,34,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,451,3,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
31850,42,blue-collar,single,basic.4y,no,yes,no,cellular,may,thu,560,3,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1
13595,43,blue-collar,single,basic.9y,no,yes,no,cellular,jul,thu,982,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
21871,56,admin.,married,university.degree,no,no,no,cellular,aug,wed,552,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
16735,58,blue-collar,married,basic.4y,no,no,yes,cellular,jul,thu,265,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
8040,36,housemaid,married,high.school,no,yes,no,telephone,jun,mon,171,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
14064,26,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,fri,151,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
17688,53,technician,married,professional.course,no,no,yes,cellular,jul,tue,178,11,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1
15507,37,entrepreneur,single,professional.course,no,yes,no,cellular,jul,fri,92,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1
37480,46,admin.,married,university.degree,no,yes,no,cellular,aug,thu,399,1,999,1,failure,-2.9,92.201,-31.4,0.873,5076.2
17267,59,retired,married,basic.9y,unknown,no,no,cellular,jul,fri,1330,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1
1670,49,unemployed,single,professional.course,unknown,no,no,telephone,may,fri,339,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
8528,26,unknown,single,high.school,unknown,yes,yes,telephone,jun,wed,524,15,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
15755,30,admin.,single,high.school,no,no,yes,cellular,jul,mon,101,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1
20770,51,management,married,high.school,unknown,no,no,cellular,aug,wed,158,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
